2022-08-11 14:19:02,324 -Test worker  INFO Version - WELD-000900: 3.1.8 (Final)
2022-08-11 14:19:03,139 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:19:03,750 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:03,975 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:07,023 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container ead9313d-4254-4693-b74b-2ce4bdd12396 initialized
2022-08-11 14:19:14,076 -Test worker  INFO Version - HV000001: Hibernate Validator 6.2.0.Final
2022-08-11 14:19:26,603 -Test worker  WARN NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2022-08-11 14:19:42,875 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container ead9313d-4254-4693-b74b-2ce4bdd12396 shut down
2022-08-11 14:19:43,107 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:19:43,196 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:43,212 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:43,764 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 344ab3d5-ff2e-4119-81fd-18b2b73bde2f initialized
2022-08-11 14:19:46,537 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 344ab3d5-ff2e-4119-81fd-18b2b73bde2f shut down
2022-08-11 14:19:46,614 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:19:46,664 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:46,672 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:47,252 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 40f5d281-99bd-4e2f-87fb-8bc7da698baa initialized
2022-08-11 14:19:50,210 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 40f5d281-99bd-4e2f-87fb-8bc7da698baa shut down
2022-08-11 14:19:50,336 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:19:50,395 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:50,396 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:19:50,638 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container cdeda9ef-4324-4469-8d95-f530de4ac76e initialized
2022-08-11 14:20:11,541 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container cdeda9ef-4324-4469-8d95-f530de4ac76e shut down
2022-08-11 14:20:11,747 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:20:11,801 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:20:11,818 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:20:12,020 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 0c4a8bcd-4cd2-47cc-bf13-88efaa762e21 initialized
2022-08-11 14:20:14,121 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 0c4a8bcd-4cd2-47cc-bf13-88efaa762e21 shut down
2022-08-11 14:20:14,199 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-11 14:20:14,218 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:20:14,223 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-11 14:20:14,636 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container add824d5-67da-47a8-82c1-b3b3f5daf3ea initialized
2022-08-11 14:21:58,849 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container add824d5-67da-47a8-82c1-b3b3f5daf3ea shut down
