2022-08-03 11:18:30,416 -Test worker  INFO Version - WELD-000900: 3.1.8 (Final)
2022-08-03 11:18:31,021 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-03 11:18:31,248 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-03 11:18:31,265 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-03 11:18:32,726 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container c2cc9792-dbeb-434c-b216-6e5b4e6b6b58 initialized
2022-08-03 11:18:35,417 -Test worker  INFO Version - HV000001: Hibernate Validator 6.2.0.Final
2022-08-03 11:18:39,542 -Test worker  WARN NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2022-08-03 11:18:52,231 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container c2cc9792-dbeb-434c-b216-6e5b4e6b6b58 shut down
2022-08-03 11:18:52,373 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-08-03 11:18:52,409 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-03 11:18:52,412 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-08-03 11:18:52,850 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 694b7c33-1f30-48a8-ba51-d66e9c4c360c initialized
2022-08-03 11:18:54,867 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 694b7c33-1f30-48a8-ba51-d66e9c4c360c shut down
2022-08-03 11:18:54,985 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
